Parameter, Mean, SD, MC Error, Lower 95% HPD, Upper 95% HPD, q2.5, q25, q50, q75, q97.5
b_{a,1}, 0.333636996601, 0.478260590437, 0.0116732072496, 1.81000538297e-05, 1.31298083918, 0.000246005682395, 0.024235779371, 0.138132284358, 0.448970077102, 1.75396236913
b_{a,2}, 0.904052948405, 1.11389864853, 0.0381195767874, 0.00017272771666, 3.18242230197, 0.000742844145318, 0.0948712201031, 0.492545929853, 1.29954534219, 3.92104172167
b_{b,2}, 1.10901173428, 1.38523098499, 0.043184458936, 8.53524882573e-06, 3.874290428, 0.000230529365362, 0.114992099228, 0.617399867163, 1.61148952263, 4.78355346918
b_{c,3}, 1.62749086462, 1.40655682619, 0.0213470341941, 0.000236790356829, 4.35948531281, 0.0998552374005, 0.628927924992, 1.23468993985, 2.22114883413, 5.38328705094
g_1, 0.22045112782, 0.41455087512, 0.00718705856631, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0
g_2, 0.726215538847, 0.44589968601, 0.00629142936548, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0
g_3, 0.659047619048, 0.474029381869, 0.00506836236989, 0.0, 1.0, 0.0, 0.0, 1.0, 1.0, 1.0
p_a, 0.652722052025, 0.548147017455, 0.0152453591516, 0.0105305329519, 1.75022685449, 0.0684387301494, 0.260822135685, 0.496132009823, 0.874753366374, 2.10090286291
p_b, 0.891619056138, 0.915621485177, 0.0252745166201, 0.00302879272941, 2.71903812912, 0.0402634961472, 0.253271757224, 0.598061860294, 1.21409283363, 3.37130495587
p_c, 1.17033761886, 0.967937241873, 0.0125425064285, 0.0091083475295, 3.08471995608, 0.0877992297552, 0.471086571868, 0.915377689395, 1.60106912475, 3.69104472184
